time,true_x,true_y,true_z,est_x,est_y,est_z,error,clock_bias,visible_sats
360,5.9626e+06,2.24434e+06,0,5.9626e+06,2.24434e+06,5.0665e-11,5.0665e-11,0.12,12
720,4.78975e+06,4.20094e+06,0,4.78975e+06,4.20094e+06,-8.83123e-11,8.83123e-11,0.12,12
1080,3.00283e+06,5.61895e+06,0,3.00283e+06,5.61895e+06,2.12065e-07,3.85859e-07,0.12,12
1440,830929,6.31658e+06,0,830929,6.31658e+06,-2.87243e-07,5.1813e-07,0.12,12
1800,-1.4475e+06,6.20438e+06,0,-1.4475e+06,6.20438e+06,1.21972e-10,1.21972e-10,0.12,12
2160,-3.54036e+06,5.29674e+06,0,-3.54036e+06,5.29674e+06,3.60983e-12,3.60983e-12,0.12,12
2520,-5.17932e+06,3.71003e+06,0,-5.17932e+06,3.71003e+06,-7.41136e-12,7.41136e-12,0.12,12
2880,-6.15425e+06,1.64766e+06,0,-6.15425e+06,1.64766e+06,-8.06561e-11,8.06561e-11,0.12,12
3240,-6.34018e+06,-625942,0,-6.34018e+06,-625942,6.09514e-06,1.06311e-05,0.12,12
3600,-5.71325e+06,-2.8193e+06,0,-5.71325e+06,-2.8193e+06,5.53198e-07,9.74434e-07,0.12,12
3960,-4.35384e+06,-4.6512e+06,0,-4.35384e+06,-4.6512e+06,1.44087e-11,1.44087e-11,0.12,12
4320,-2.43625e+06,-5.88679e+06,0,-2.43625e+06,-5.88679e+06,6.55068e-11,6.55068e-11,0.12,12
4680,-206314,-6.36766e+06,0,-206314,-6.36766e+06,4.16957e-06,7.58159e-06,0.119999,12
5040,2.05007e+06,-6.03215e+06,0,2.05007e+06,-6.03215e+06,3.5413e-07,6.452e-07,0.12,12
5400,4.04363e+06,-4.92328e+06,0,4.04363e+06,-4.92328e+06,1.18311e-06,2.11842e-06,0.12,12
5760,5.51876e+06,-3.18322e+06,0,5.51876e+06,-3.18322e+06,-2.19106e-06,3.86547e-06,0.12,12
6120,6.28636e+06,-1.03505e+06,0,6.28636e+06,-1.03505e+06,3.58973e-06,6.26681e-06,0.12,12
6480,6.248e+06,1.24583e+06,0,6.248e+06,1.24583e+06,1.74103e-06,3.03989e-06,0.12,12
6840,5.40861e+06,3.36698e+06,0,5.40861e+06,3.36698e+06,-1.02518e-11,1.02518e-11,0.12,12
7200,3.87581e+06,5.05646e+06,0,3.87581e+06,5.05646e+06,7.18796e-12,7.18796e-12,0.12,12
